x,y,class
1,4.4,N
1,3.9,N
1,4,P
1,4,N
1,3.5,N
1,4.1,N
1,2.3,P
1,4.7,N
1,1.7,P
1,4.9,N
1,1.7,P
1,4.6,N
1,3.4,N
2,4.3,N
2,1.7,P
2,3.9,N
2,3.7,P
2,3.1,P
2,4,N
2,1.8,P
2,4.1,N
2,1.8,P
2,3.2,N
2,1.9,P
2,4.6,N
2,2,P
3,4.5,N
3,3.9,N
3,4.3,N
3,2.3,P
3,3.8,N
3,1.9,P
3,4.6,N
3,1.8,P
3,4.7,N
3,1.8,P
3,4.6,N
3,1.9,P
3,3.5,N
4,4,N
4,3.7,N
4,3.7,P
4,4.3,P
4,3.6,N
4,3.8,N
4,3.8,N
4,3.8,N
4,2.5,P
4,4.5,N
4,4.1,P
4,3.7,N
4,3.8,P
4,3.4,N
5,4,P
5,2.3,P
5,4.4,N
5,4.1,N
5,4.3,N
5,3.3,N
5,2,P
5,4.3,N
5,2.9,P
5,4.6,N
5,1.9,P
5,3.6,P
5,3.7,N
5,3.7,N
6,1.8,P
6,4.6,N
6,3.5,N
6,4,P
6,3.7,N
6,1.7,P
6,4.6,N
6,1.7,P
6,4,N
6,1.8,P
6,4.4,N
6,1.9,P
6,4.6,N
6,2.9,N
7,3.5,N
7,2,P
7,4.3,N
7,1.8,P
7,4.1,N
7,1.8,P
7,4.7,N
7,4.2,N
7,3.9,N
7,4.3,N
7,1.8,P
7,4.5,N
7,2,P
8,4.2,N
8,4.4,N
8,4.1,P
8,4.1,N
8,4,N
8,4.1,N
8,2.7,P
8,4.6,N
8,1.9,P
8,4.5,N
8,2,P
8,4.8,N
8,4.1,N
16,4.1,N
16,4.2,N
16,4.5,N
16,1.9,P
16,4.7,N
16,2,P
16,4.7,N
16,2.5,P
16,4.3,N
16,4.4,N
16,4.4,N
16,4.3,P
16,4.6,N
16,2.1,P
17,4.8,N
17,4.1,P
17,4,P
17,4,N
17,4.4,N
17,4.1,N
17,4.3,N
17,4,P
17,3.9,N
17,3.2,P
17,4.5,N
17,2.2,P
17,4.7,N
17,4.6,N
18,2.2,P
18,4.8,N
18,4.3,N
18,3.8,N
18,4,N
18,4.1,N
18,1.8,P
18,4.4,N
18,4,N
18,2.2,P
18,5.1,N
18,1.9,P
18,5,N
18,4.4,N
19,4.5,N
19,3.8,N
19,4.3,N
19,4.4,N
19,2.2,P
19,4.8,N
19,1.9,P
19,4.7,N
19,1.8,P
19,4.8,N
19,2,P
19,4.4,N
19,2.5,P
19,4.3,N
20,4.4,N
20,1.9,P
20,4.7,N
20,4.3,N
20,2.2,P
20,4.7,N
20,2.3,P
20,4.6,N
20,3.3,P
20,4.2,N
20,2.9,P
20,4.6,N
20,3.3,P
20,4.2,N
20,2.6,P
20,4.6,P
21,3.7,N
21,1.8,P
21,4.7,N
21,4.5,N
21,4.5,P
21,4.8,N
21,2,P
21,4.8,N
21,1.9,P
21,4.7,N
21,2,P
21,5.1,N
21,4.3,N
21,4.8,N
22,3,N
22,2.1,P
22,4.6,N
22,4,N
22,2.2,P
22,5.1,N
22,2.9,P
22,4.3,N
22,2.1,P
22,4.7,N
22,4.5,P
22,1.7,P
22,4.2,N
22,4.3,N
23,1.7,P
23,4.4,N
23,4.2,N
23,2.2,P
23,4.7,N
23,4,P
23,1.8,P
23,4.7,N
23,1.8,P
23,4.5,N
23,2.1,P
23,4.2,N
23,2.1,P
23,5.2,N
23,2,P
